COU,Country,Variable,Risk,Year,Unit,PowerCode,Value
JPN,Japan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,3.048057
LUX,Luxembourg,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,546.994
LUX,Luxembourg,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,435.456
LUX,Luxembourg,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,327.388
LUX,Luxembourg,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,278.077
LUX,Luxembourg,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,251.405
LUX,Luxembourg,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,162.513
LUX,Luxembourg,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,147.914
LUX,Luxembourg,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,5.123282
LUX,Luxembourg,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,3.942506
LUX,Luxembourg,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,2.835174
LUX,Luxembourg,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,2.362014
LUX,Luxembourg,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,2.128184
LUX,Luxembourg,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,1.366911
LUX,Luxembourg,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,1.232713
HND,Honduras,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,75.401
HND,Honduras,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,84.142
HND,Honduras,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,106.723
HND,Honduras,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,118.326
HND,Honduras,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,135.773
HND,Honduras,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,187.158
HND,Honduras,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,182.946
HND,Honduras,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,0.7580398
HND,Honduras,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,0.8459126
HND,Honduras,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,1.354535
HND,Honduras,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,1.486681
HND,Honduras,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,1.694309
HND,Honduras,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,2.316436
HND,Honduras,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,2.246124
JAM,Jamaica,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,153.1
JAM,Jamaica,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,188.853
JAM,Jamaica,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,242.378
JAM,Jamaica,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,226.532
JAM,Jamaica,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,256.266
JAM,Jamaica,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,310.039
JAM,Jamaica,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,318.193
JAM,Jamaica,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,1.79138
JAM,Jamaica,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,2.177331
JAM,Jamaica,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,2.812299
JAM,Jamaica,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,2.612822
JAM,Jamaica,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,2.970556
JAM,Jamaica,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,3.592501
JAM,Jamaica,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,3.674428
JOR,Jordan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,356.421
JOR,Jordan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,346.522
JOR,Jordan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,316.344
JOR,Jordan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,338.253
JOR,Jordan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,280.242
JOR,Jordan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,272.514
JOR,Jordan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,306.872
JOR,Jordan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,4.227178
JOR,Jordan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,4.072561
JOR,Jordan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,3.700159
JOR,Jordan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,3.881734
JOR,Jordan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,3.193028
JOR,Jordan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,3.139341
JOR,Jordan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,3.507373
KAZ,Kazakhstan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,487.316
KAZ,Kazakhstan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,709.117
KAZ,Kazakhstan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,659.124
KAZ,Kazakhstan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,664.246
KAZ,Kazakhstan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,619.412
KAZ,Kazakhstan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,578.585
KAZ,Kazakhstan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,546.669
KAZ,Kazakhstan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,5.397326
KAZ,Kazakhstan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,8.218634
KAZ,Kazakhstan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,7.501136
KAZ,Kazakhstan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,7.21839
KAZ,Kazakhstan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,6.566243
KAZ,Kazakhstan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,6.041201
KAZ,Kazakhstan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,5.657088
KEN,Kenya,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,70.689
KEN,Kenya,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,76.944
KEN,Kenya,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,94.349
KEN,Kenya,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,95.441
KEN,Kenya,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,116.053
KEN,Kenya,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,126.648
KEN,Kenya,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,104.396
KEN,Kenya,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,0.7106639
KEN,Kenya,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,0.7735518
KEN,Kenya,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,0.9485303
KEN,Kenya,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,0.9595097
KEN,Kenya,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,1.166727
KEN,Kenya,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,1.659634
KEN,Kenya,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,1.351654
LBN,Lebanon,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,573.83
LBN,Lebanon,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,537.906
LBN,Lebanon,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,522.732
LBN,Lebanon,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,514.74
LBN,Lebanon,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,624.476
LBN,Lebanon,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,521.604
LBN,Lebanon,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,488.095
LBN,Lebanon,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,6.860969
LBN,Lebanon,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,6.077233
LBN,Lebanon,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,5.861005
LBN,Lebanon,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,5.775348
LBN,Lebanon,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,6.790902
LBN,Lebanon,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,5.774803
LBN,Lebanon,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,5.388541
LSO,Lesotho,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,199.202
LSO,Lesotho,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,222.826
LSO,Lesotho,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,260.206
LSO,Lesotho,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,303.533
LSO,Lesotho,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,396.538
LSO,Lesotho,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,431.752
LSO,Lesotho,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,394.648
LSO,Lesotho,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,2.002659
LSO,Lesotho,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,3.064796
LSO,Lesotho,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,2.615961
LSO,Lesotho,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,4.077306
LSO,Lesotho,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,5.229698
LSO,Lesotho,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,5.591573
LSO,Lesotho,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,5.104301
LBR,Liberia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,200.762
LBR,Liberia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,146.492
LBR,Liberia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,126.523
LBR,Liberia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,126.516
LBR,Liberia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,115.36
LBR,Liberia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,144.472
LBR,Liberia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,132.841
LBR,Liberia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,2.234527
LBR,Liberia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,1.28463
LBR,Liberia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,1.271983
LBR,Liberia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,1.271921
LBR,Liberia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,1.159761
LBR,Liberia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,1.452436
LBR,Liberia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,1.336372
LBY,Libya,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,293.666
LBY,Libya,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,310.161
LBY,Libya,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,345.002
LBY,Libya,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,343.919
LBY,Libya,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,413.006
LBY,Libya,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,438.996
LBY,Libya,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,496.634
LBY,Libya,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,3.036914
LBY,Libya,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,3.253612
LBY,Libya,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,3.606402
LBY,Libya,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,3.53388
LBY,Libya,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,4.190883
LBY,Libya,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,4.784955
LBY,Libya,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,5.245399
LTU,Lithuania,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,679.673
LTU,Lithuania,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,755.722
LTU,Lithuania,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,567.951
LTU,Lithuania,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,655.756
LTU,Lithuania,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,694.257
LTU,Lithuania,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,554.192
LTU,Lithuania,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,457.156
LTU,Lithuania,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,7.975048
LTU,Lithuania,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,8.741668
LTU,Lithuania,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,6.399744
LTU,Lithuania,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,7.090086
LTU,Lithuania,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,7.41192
LTU,Lithuania,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,5.977234
LTU,Lithuania,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,4.737175
MEX,Mexico,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,252.533
MEX,Mexico,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,263.573
MEX,Mexico,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,254.628
MEX,Mexico,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,227.988
MEX,Mexico,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,235.489
MEX,Mexico,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,273.001
MEX,Mexico,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,286.879
MEX,Mexico,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,2.819369
MEX,Mexico,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,2.940506
MEX,Mexico,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,2.789604
MEX,Mexico,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,2.497302
MEX,Mexico,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,2.579445
MEX,Mexico,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,2.966696
MEX,Mexico,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,3.109283
KIR,Kiribati,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,115.211
KIR,Kiribati,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,136.878
KIR,Kiribati,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,147.124
KIR,Kiribati,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,144.579
KIR,Kiribati,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,131.411
KIR,Kiribati,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,127.425
KIR,Kiribati,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,156.89
KIR,Kiribati,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,1.539673
KIR,Kiribati,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,1.835912
KIR,Kiribati,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,1.96165
KIR,Kiribati,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,1.930719
KIR,Kiribati,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,1.77455
KIR,Kiribati,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,1.700148
KIR,Kiribati,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,2.086138
KWT,Kuwait,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,264.494
KWT,Kuwait,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,341.469
KWT,Kuwait,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,358.339
KWT,Kuwait,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,402.983
KWT,Kuwait,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,356.621
KWT,Kuwait,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,324.583
KWT,Kuwait,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,364.818
KWT,Kuwait,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,2.592455
KWT,Kuwait,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,2.871309
KWT,Kuwait,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,3.10339
KWT,Kuwait,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,3.296305
KWT,Kuwait,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,3.047243
KWT,Kuwait,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,2.812583
KWT,Kuwait,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,3.204107
KGZ,Kyrgyzstan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,402.367
KGZ,Kyrgyzstan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,498.017
KGZ,Kyrgyzstan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,492.284
KGZ,Kyrgyzstan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,487.887
KGZ,Kyrgyzstan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,450.798
KGZ,Kyrgyzstan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,437.587
KGZ,Kyrgyzstan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,403.334
KGZ,Kyrgyzstan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,5.010442
KGZ,Kyrgyzstan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,5.006773
KGZ,Kyrgyzstan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,4.949132
KGZ,Kyrgyzstan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,4.904927
KGZ,Kyrgyzstan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,4.532058
KGZ,Kyrgyzstan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,5.490309
KGZ,Kyrgyzstan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,5.008597
LAO,Lao People's Democratic Republic,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,170.377
LAO,Lao People's Democratic Republic,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,171.549
LAO,Lao People's Democratic Republic,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,172.037
LAO,Lao People's Democratic Republic,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,177.661
LAO,Lao People's Democratic Republic,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,188.889
LAO,Lao People's Democratic Republic,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,169.567
LAO,Lao People's Democratic Republic,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,192.012
LAO,Lao People's Democratic Republic,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,1.712872
LAO,Lao People's Democratic Republic,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,1.724651
LAO,Lao People's Democratic Republic,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,1.729558
LAO,Lao People's Democratic Republic,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,1.786094
LAO,Lao People's Democratic Republic,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,2.354396
